jurisdiction,district_number,district_name,total_party_votes,total_votes,fptp_winner,fptp_party,fptp_is_independent,rpv_winner,result_change,rpv_party
Quebec,24029,Honoré-Mercier,48409,48409,"Rodriguez, Pablo",Liberal,False,"Rodriguez, Pablo",False,Liberal
Ontario,35013,Brantford–Brant,65826,66122,"Brock, Larry",Conservative,False,"Brock, Larry",False,Conservative
Quebec,24023,Compton–Stanstead,57610,57796,"Bibeau, Marie-Claude",Liberal,False,"Bibeau, Marie-Claude",False,Liberal
Quebec,24038,Laurentides–Labelle,63943,64123,"Gaudreau, Marie-Hélène",Bloc Québécois,False,"Gaudreau, Marie-Hélène",False,Bloc Québécois
Ontario,35001,Ajax,49758,49758,"Holland, Mark",Liberal,False,"Holland, Mark",False,Liberal
Quebec,24078,Vimy,50862,50862,"Koutrakis, Annie",Liberal,False,"Koutrakis, Annie",False,Liberal
Quebec,24025,Drummond,51189,51189,"Champoux, Martin",Bloc Québécois,False,"Champoux, Martin",False,Bloc Québécois
New Brunswick,13003,Fredericton,43752,44062,"Atwin, Jenica",Liberal,False,"O'Byrne, Nicole",True,Green Party
Quebec,24075,Terrebonne,58949,58949,"Sinclair-Desgagné, Nathalie",Bloc Québécois,False,"Sinclair-Desgagné, Nathalie",False,Bloc Québécois
Nova Scotia,12002,Central Nova,40109,40474,"Fraser, Sean",Liberal,False,"Fraser, Sean",False,Liberal
Nova Scotia,12008,Sackville–Preston–Chezzetcook,45606,45606,"Samson, Darrell",Liberal,False,"Chisholm, Jenna",True,NDP-New Democratic Party
Ontario,35022,Dufferin–Caledon,65366,65573,"Seeback, Kyle",Conservative,False,"Seeback, Kyle",False,Conservative
Nova Scotia,12007,Kings–Hants,44956,44956,"Blois, Kody",Liberal,False,"Blois, Kody",False,Liberal
Nova Scotia,12001,Cape Breton–Canso,39360,39360,"Kelloway, Mike",Liberal,False,"Kelloway, Mike",False,Liberal
Quebec,24021,Châteauguay–Lacolle,48683,48683,"Shanahan, Brenda",Liberal,False,"Shanahan, Brenda",False,Liberal
Quebec,24042,Lévis–Lotbinière,63407,63407,"Gourde, Jacques",Conservative,False,"Gourde, Jacques",False,Conservative
Quebec,24030,Hull–Aylmer,51106,51249,"Fergus, Greg",Liberal,False,"Fergus, Greg",False,Liberal
Ontario,35009,Brampton East,41351,41351,"Sidhu, Maninder",Liberal,False,"Sidhu, Maninder",False,Liberal
Quebec,24020,Beauport–Côte-de-Beaupré–Île d'Orléans–Charlevoix,49909,50136,"Desbiens, Caroline",Bloc Québécois,False,"Laprise, Véronique",True,Conservative
Quebec,24022,Chicoutimi–Le Fjord,42006,42006,"Martel, Richard",Conservative,False,"Martel, Richard",False,Conservative
Quebec,24069,Saint-Léonard–Saint-Michel,41814,41814,"Lattanzio, Patricia",Liberal,False,"Lattanzio, Patricia",False,Liberal
Ontario,35020,Don Valley North,40535,40535,"Dong, Han",Liberal,False,"Dong, Han",False,Liberal
Prince Edward Island,11003,Egmont,19561,19561,"Morrissey, Bobby",Liberal,False,"Clark, Alex",True,Green Party
Quebec,24019,Charlesbourg–Haute-Saint-Charles,57349,57349,"Paul-Hus, Pierre",Conservative,False,"Paul-Hus, Pierre",False,Conservative
Quebec,24031,Joliette,56198,56198,"Ste-Marie, Gabriel",Bloc Québécois,False,"Ste-Marie, Gabriel",False,Bloc Québécois
Quebec,24068,Saint-Laurent,37317,37317,"Lambropoulos, Emmanuella",Liberal,False,"Lambropoulos, Emmanuella",False,Liberal
Prince Edward Island,11002,Charlottetown,19100,19100,"Casey, Sean",Liberal,False,"Lanthier, Darcie",True,Green Party
Quebec,24049,Montarville,57472,57472,"Bergeron, Stéphane",Bloc Québécois,False,"Bergeron, Stéphane",False,Bloc Québécois
Prince Edward Island,11004,Malpeque,23707,23707,"MacDonald, Heath",Liberal,False,"Keenan, Anna",True,Green Party
Quebec,24067,Saint-Jean,59210,59210,"Normandin, Christine",Bloc Québécois,False,"Normandin, Christine",False,Bloc Québécois
Prince Edward Island,11001,Cardigan,22094,22094,"MacAulay, Lawrence",Liberal,False,"MacAulay, Lawrence",False,Liberal
Ontario,35014,Bruce–Grey–Owen Sound,57890,58414,"Ruff, Alex",Conservative,False,"Ruff, Alex",False,Conservative
Quebec,24066,Saint-Hyacinthe–Bagot,53031,53031,"Savard-Tremblay, Simon-Pierre",Bloc Québécois,False,"Savard-Tremblay, Simon-Pierre",False,Bloc Québécois
Quebec,24070,Saint-Maurice–Champlain,56096,56337,"Champagne, François-Philippe",Liberal,False,"Champagne, François-Philippe",False,Liberal
Quebec,24065,Marc-Aurèle-Fortin,52127,52127,"Robillard, Yves",Liberal,False,"Robillard, Yves",False,Liberal
Quebec,24071,Salaberry–Suroît,60865,60865,"Debellefeuille, Claude",Bloc Québécois,False,"Debellefeuille, Claude",False,Bloc Québécois
Ontario,35008,Brampton Centre,33147,33971,"Ali, Shafqat",Liberal,False,"Ali, Shafqat",False,Liberal
Quebec,24028,Hochelaga,47706,47706,"Martinez Ferrada, Soraya",Liberal,False,"Martinez Ferrada, Soraya",False,Liberal
Quebec,24014,Pierre-Boucher–Les Patriotes–Verchères,55246,55246,"Barsalou-Duval, Xavier",Bloc Québécois,False,"Barsalou-Duval, Xavier",False,Bloc Québécois
Quebec,24064,Rosemont–La Petite-Patrie,54988,54988,"Boulerice, Alexandre",NDP-New Democratic Party,False,"Boulerice, Alexandre",False,NDP-New Democratic Party
Quebec,24072,Shefford,59626,59626,"Larouche, Andréanne",Bloc Québécois,False,"Larouche, Andréanne",False,Bloc Québécois
Quebec,24063,Rivière-du-Nord,57329,57329,"Fortin, Rhéal",Bloc Québécois,False,"Fortin, Rhéal",False,Bloc Québécois
Quebec,24013,Thérèse-De Blainville,52288,52288,"Chabot, Louise",Bloc Québécois,False,"Chabot, Louise",False,Bloc Québécois
Newfoundland and Labrador,10006,St. John's East,38171,38171,"Thompson, Joanne",Liberal,False,"Shortall, Mary",True,NDP-New Democratic Party
Quebec,24039,Laurier–Sainte-Marie,44602,44676,"Guilbeault, Steven",Liberal,False,"Machouf, Nimâ",True,NDP-New Democratic Party
Newfoundland and Labrador,10005,Long Range Mountains,36447,36447,"Hutchings, Gudie",Liberal,False,"Anstey, Carol",True,Conservative
Quebec,24032,Jonquière,45474,45474,"Simard, Mario",Bloc Québécois,False,"Simard, Mario",False,Bloc Québécois
Newfoundland and Labrador,10007,St. John's South–Mount Pearl,34676,34676,"O'Regan, Seamus",Liberal,False,"O'Regan, Seamus",False,Liberal
Quebec,24062,Rivière-des-Mille-Îles,53366,53366,"Desilets, Luc",Bloc Québécois,False,"Duffy-Vincelette, Marc",True,Conservative
Quebec,24016,Brome–Missisquoi,61326,61471,"St-Onge, Pascale",Liberal,False,"Duhamel, Vincent",True,Conservative
Quebec,24059,Québec,51191,51191,"Duclos, Jean-Yves",Liberal,False,"Boutin, Bianca",True,Conservative
Nova Scotia,12003,Cumberland–Colchester,40139,40417,"Ellis, Stephen",Conservative,False,"Ellis, Stephen",False,Conservative
Quebec,24073,Sherbrooke,58185,58185,"Brière, Élisabeth",Liberal,False,"Brière, Élisabeth",False,Liberal
Ontario,35032,Guelph,69771,69771,"Longfield, Lloyd",Liberal,False,"Longfield, Lloyd",False,Liberal
Newfoundland and Labrador,10003,Coast of Bays–Central–Notre Dame,31834,31834,"Small, Clifford",Conservative,False,"Small, Clifford",False,Conservative
Quebec,24024,Dorval–Lachine–LaSalle,48141,48141,"Dhillon, Anju",Liberal,False,"Dhillon, Anju",False,Liberal
Quebec,24015,Bourassa,36781,36932,"Dubourg, Emmanuel",Liberal,False,"Dubourg, Emmanuel",False,Liberal
Quebec,24054,Outremont,36727,36820,"Bendayan, Rachel",Liberal,False,"Péclet, Ève",True,NDP-New Democratic Party
Quebec,24008,Beauport–Limoilou,48644,48644,"Vignola, Julie",Bloc Québécois,False,"Clarke, Alupa",True,Conservative
Quebec,24017,Brossard–Saint-Lambert,52356,52356,"Mendès, Alexandra",Liberal,False,"Mendès, Alexandra",False,Liberal
Quebec,24009,Bécancour–Nicolet–Saurel,50007,50007,"Plamondon, Louis",Bloc Québécois,False,"Plamondon, Louis",False,Bloc Québécois
Ontario,35030,Flamborough–Glanbrook,60069,60069,"Muys, Dan",Conservative,False,"Muys, Dan",False,Conservative
Quebec,24055,Papineau,45224,45423,"Trudeau, Justin",Liberal,False,"Trudeau, Justin",False,Liberal
Quebec,24053,Notre-Dame-de-Grâce–Westmount,45591,45591,"Garneau, Marc",Liberal,False,"Garneau, Marc",False,Liberal
Quebec,24052,Mont-Royal,40362,40362,"Housefather, Anthony",Liberal,False,"Housefather, Anthony",False,Liberal
Quebec,24007,Beauce,56980,56980,"Lehoux, Richard",Conservative,False,"Bernier, Maxime",True,People's Party - PPC
Newfoundland and Labrador,10002,Bonavista–Burin–Trinity,29991,29991,"Rogers, Churence",Liberal,False,"Rogers, Churence",False,Liberal
Ontario,35029,Etobicoke North,35248,35564,"Duncan, Kirsty",Liberal,False,"Duncan, Kirsty",False,Liberal
Quebec,24058,Portneuf–Jacques-Cartier,65216,65216,"Godin, Joël",Conservative,False,"Godin, Joël",False,Conservative
Quebec,24011,Beloeil–Chambly,65324,65324,"Blanchet, Yves-François",Bloc Québécois,False,"Blanchet, Yves-François",False,Bloc Québécois
Newfoundland and Labrador,10004,Labrador,9653,9653,"Jones, Yvonne",Liberal,False,"Jones, Yvonne",False,Liberal
Quebec,24076,Trois-Rivières,58110,58110,"Villemure, René",Bloc Québécois,False,"Levesque, Yves",True,Conservative
Quebec,24051,Montmagny–L'Islet–Kamouraska–Rivière-du-Loup,47812,47812,"Généreux, Bernard",Conservative,False,"Généreux, Bernard",False,Conservative
Newfoundland and Labrador,10001,Avalon,37144,37144,"McDonald, Ken",Liberal,False,"McDonald, Ken",False,Liberal
Quebec,24012,Berthier–Maskinongé,54945,54945,"Perron, Yves",Bloc Québécois,False,"Brosseau, Ruth Ellen",True,NDP-New Democratic Party
Quebec,24004,Alfred-Pellan,51256,51256,"Iacono, Angelo",Liberal,False,"Iacono, Angelo",False,Liberal
Ontario,35028,Etobicoke–Lakeshore,64065,64065,"Maloney, James",Liberal,False,"Maloney, James",False,Liberal
Quebec,24057,Pontiac,62007,62007,"Chatel, Sophie",Liberal,False,"Chatel, Sophie",False,Liberal
Quebec,24047,Mégantic–L'Érable,46025,46428,"Berthold, Luc",Conservative,False,"Berthold, Luc",False,Conservative
Ontario,35019,Don Valley East,37325,37325,"Coteau, Michael",Liberal,False,"Coteau, Michael",False,Liberal
Quebec,24077,Ville-Marie–Le Sud-Ouest–Île-des-Soeurs,49423,49423,"Miller, Marc",Liberal,False,"Miller, Marc",False,Liberal
Quebec,24006,Avignon–La Mitis–Matane–Matapédia,33075,33075,"Michaud, Kristina",Bloc Québécois,False,"Michaud, Kristina",False,Bloc Québécois
Quebec,24001,Abitibi–Baie-James–Nunavik–Eeyou,28436,28436,"Bérubé, Sylvie",Bloc Québécois,False,"Corriveau, Steve",True,Conservative
New Brunswick,13010,Tobique–Mactaquac,34002,34400,"Bragdon, Richard",Conservative,False,"Bragdon, Richard",False,Conservative
Quebec,24046,Manicouagan,35000,35000,"Gill, Marilène",Bloc Québécois,False,"Gill, Marilène",False,Bloc Québécois
Quebec,24056,Pierrefonds–Dollard,52306,52306,"Zuberi, Sameer",Liberal,False,"Zuberi, Sameer",False,Liberal
Ontario,35018,Davenport,47144,47307,"Dzerowicz, Julie",Liberal,False,"Bravo, Alejandra",True,NDP-New Democratic Party
Quebec,24003,Ahuntsic-Cartierville,50409,50409,"Joly, Mélanie",Liberal,False,"Joly, Mélanie",False,Liberal
New Brunswick,13009,Saint John–Rothesay,37450,37450,"Long, Wayne",Liberal,False,"Long, Wayne",False,Liberal
Ontario,35016,Cambridge,54852,54852,"May, Bryan",Liberal,False,"Cody, Connie",True,Conservative
Ontario,35017,Chatham-Kent–Leamington,54854,54854,"Epp, Dave",Conservative,False,"Vallee, Liz",True,People's Party - PPC
Quebec,24044,Louis-Hébert,59422,59800,"Lightbound, Joël",Liberal,False,"Lightbound, Joël",False,Liberal
Ontario,35025,Elgin–Middlesex–London,63058,63058,"Vecchio, Karen",Conservative,False,"Hillier, Chelsea",True,People's Party - PPC
New Brunswick,13007,Moncton–Riverview–Dieppe,45762,45762,"Petitpas Taylor, Ginette",Liberal,False,"Petitpas Taylor, Ginette",False,Liberal
Quebec,24043,Longueuil–Saint-Hubert,57235,57235,"Trudel, Denis",Bloc Québécois,False,"Trudel, Denis",False,Bloc Québécois
Quebec,24045,Louis-Saint-Laurent,64098,64098,"Deltell, Gérard",Conservative,False,"Deltell, Gérard",False,Conservative
Quebec,24060,Repentigny,59701,59701,"Pauzé, Monique",Bloc Québécois,False,"Pauzé, Monique",False,Bloc Québécois
Quebec,24048,Mirabel,63112,63112,"Garon, Jean-Denis",Bloc Québécois,False,"Garon, Jean-Denis",False,Bloc Québécois
Ontario,35012,Brampton West,46281,46609,"Khera, Kamal",Liberal,False,"Khera, Kamal",False,Liberal
New Brunswick,13008,New Brunswick Southwest,36629,36629,"Williamson, John",Conservative,False,"Williamson, John",False,Conservative
Ontario,35007,Beaches–East York,50950,51116,"Erskine-Smith, Nathaniel",Liberal,False,"Erskine-Smith, Nathaniel",False,Liberal
Quebec,24002,Abitibi–Témiscamingue,45685,45685,"Lemire, Sébastien",Bloc Québécois,False,"Lemire, Sébastien",False,Bloc Québécois
Quebec,24036,Lac-Saint-Louis,57725,57725,"Scarpaleggia, Francis",Liberal,False,"Scarpaleggia, Francis",False,Liberal
New Brunswick,13002,Beauséjour,49145,49145,"LeBlanc, Dominic",Liberal,False,"LeBlanc, Dominic",False,Liberal
Quebec,24037,LaSalle–Émard–Verdun,47360,47360,"Lametti, David",Liberal,False,"Lametti, David",False,Liberal
Ontario,35011,Brampton South,41430,41430,"Sidhu, Sonia",Liberal,False,"Sidhu, Sonia",False,Liberal
Ontario,35024,Eglinton–Lawrence,49611,49611,"Mendicino, Marco",Liberal,False,"Mendicino, Marco",False,Liberal
New Brunswick,13004,Fundy Royal,44382,44382,"Moore, Rob",Conservative,False,"Moore, Rob",False,Conservative
Quebec,24005,Argenteuil–La Petite-Nation,50613,50613,"Lauzon, Stéphane",Liberal,False,"Lauzon, Stéphane",False,Liberal
Ontario,35023,Durham,67430,67730,"O'Toole, Erin",Conservative,False,"O'Toole, Erin",False,Conservative
New Brunswick,13001,Acadie–Bathurst,42922,42922,"Cormier, Serge",Liberal,False,"Cormier, Serge",False,Liberal
Ontario,35010,Brampton North,43149,43149,"Sahota, Ruby",Liberal,False,"Sahota, Ruby",False,Liberal
Quebec,24018,Rimouski-Neigette–Témiscouata–Les Basques,40671,42138,"Blanchette-Joncas, Maxime",Bloc Québécois,False,"Blanchette-Joncas, Maxime",False,Bloc Québécois
Nova Scotia,12011,West Nova,43871,43871,"d'Entremont, Chris",Conservative,False,"d'Entremont, Chris",False,Conservative
Quebec,24050,Montcalm,51452,51452,"Thériault, Luc",Bloc Québécois,False,"Thériault, Luc",False,Bloc Québécois
Nova Scotia,12010,Sydney–Victoria,36312,36312,"Battiste, Jaime",Liberal,False,"Orrell, Eddie",True,Conservative
Quebec,24034,La Prairie,59140,59140,"Therrien, Alain",Bloc Québécois,False,"Therrien, Alain",False,Bloc Québécois
New Brunswick,13006,Miramichi–Grand Lake,32503,32503,"Stewart, Jake",Conservative,False,"Stewart, Jake",False,Conservative
Ontario,35006,Bay of Quinte,61700,61700,"Williams, Ryan",Conservative,False,"Williams, Ryan",False,Conservative
Quebec,24035,Lac-Saint-Jean,50197,50197,"Brunelle-Duceppe, Alexis",Bloc Québécois,False,"Brunelle-Duceppe, Alexis",False,Bloc Québécois
Ontario,35005,Barrie–Springwater–Oro-Medonte,52239,52239,"Shipley, Doug",Conservative,False,"Shipley, Doug",False,Conservative
Quebec,24040,Laval–Les Îles,50578,50578,"El-Khoury, Fayçal",Liberal,False,"El-Khoury, Fayçal",False,Liberal
Quebec,24033,La Pointe-de-l'Île,51080,51080,"Beaulieu, Mario",Bloc Québécois,False,"Beaulieu, Mario",False,Bloc Québécois
Nova Scotia,12009,South Shore–St. Margarets,50004,50004,"Perkins, Rick",Conservative,False,"Perkins, Rick",False,Conservative
Nova Scotia,12005,Halifax,51248,51248,"Fillmore, Andy",Liberal,False,"Roberts, Lisa",True,NDP-New Democratic Party
Ontario,35004,Barrie–Innisfil,52935,52935,"Brassard, John",Conservative,False,"Brassard, John",False,Conservative
New Brunswick,13005,Madawaska–Restigouche,30546,30546,"Arseneault, René",Liberal,False,"Arseneault, René",False,Liberal
Nova Scotia,12006,Halifax West,51031,51031,"Diab, Lena Metlege",Liberal,False,"Diab, Lena Metlege",False,Liberal
Nova Scotia,12004,Dartmouth–Cole Harbour,45628,45628,"Fisher, Darren",Liberal,False,"Fisher, Darren",False,Liberal
Quebec,24041,Longueuil–Charles-LeMoyne,47970,47970,"Romanado, Sherry",Liberal,False,"Romanado, Sherry",False,Liberal
Quebec,24026,Gaspésie–Les Îles-de-la-Madeleine,36858,36858,"Lebouthillier, Diane",Liberal,False,"Lebouthillier, Diane",False,Liberal
Ontario,35003,Aurora–Oak Ridges–Richmond Hill,45896,45896,"Taylor Roy, Leah",Liberal,False,"Alleslev, Leona",True,Conservative
Quebec,24027,Gatineau,52497,52497,"MacKinnon, Steven",Liberal,False,"MacKinnon, Steven",False,Liberal
Quebec,24010,Bellechasse–Les Etchemins–Lévis,62876,63182,"Vien, Dominique",Conservative,False,"Vien, Dominique",False,Conservative
Ontario,35002,Algoma–Manitoulin–Kapuskasing,39523,39523,"Hughes, Carol",NDP-New Democratic Party,False,"Hughes, Carol",False,NDP-New Democratic Party
Ontario,35027,Etobicoke Centre,57550,57550,"Baker, Yvan",Liberal,False,"Baker, Yvan",False,Liberal
Ontario,35015,Burlington,69105,69105,"Gould, Karina",Liberal,False,"Gould, Karina",False,Liberal
Quebec,24061,Richmond–Arthabaska,57159,57159,"Rayes, Alain",Conservative,False,"Rayes, Alain",False,Conservative
Ontario,35021,Don Valley West,47014,47014,"Oliphant, Rob",Liberal,False,"Oliphant, Rob",False,Liberal
Ontario,35033,Haldimand–Norfolk,62592,62592,"Lewis, Leslyn",Conservative,False,"Gilpin, Ken",True,People's Party - PPC
Ontario,35036,Hamilton East–Stoney Creek,49793,49793,"Collins, Chad",Liberal,False,"Kuruc, Ned",True,Conservative
Ontario,35035,Hamilton Centre,41181,41280,"Green, Matthew",NDP-New Democratic Party,False,"Green, Matthew",False,NDP-New Democratic Party
Ontario,35034,Haliburton–Kawartha Lakes–Brock,67721,67721,"Schmale, Jamie",Conservative,False,"Schmale, Jamie",False,Conservative
Ontario,35046,Kitchener–Conestoga,50953,50953,"Louis, Tim",Liberal,False,"Hawley, Carlene",True,Conservative
Ontario,35031,Glengarry–Prescott–Russell,65593,65907,"Drouin, Francis",Liberal,False,"Drouin, Francis",False,Liberal
Ontario,35048,Lambton–Kent–Middlesex,60692,60692,"Rood, Lianne",Conservative,False,"Mitchell, Kevin",True,People's Party - PPC
Ontario,35047,Kitchener South–Hespeler,49535,49654,"Bradford, Valerie",Liberal,False,"Calver, Tyler",True,Conservative
Ontario,35042,Kenora,26083,26083,"Melillo, Eric",Conservative,False,"Seymour, Janine",True,NDP-New Democratic Party
Ontario,35026,Essex,69804,69976,"Lewis, Chris",Conservative,False,"Ramsey, Tracey",True,NDP-New Democratic Party
Ontario,35045,Kitchener Centre,51179,51179,"Morrice, Mike",Green Party,False,"Morrice, Mike",False,Green Party
Ontario,35043,King–Vaughan,49995,49995,"Roberts, Anna",Conservative,False,"Roberts, Anna",False,Conservative
Ontario,35049,Lanark–Frontenac–Kingston,62911,62911,"Reid, Scott",Conservative,False,"Reid, Scott",False,Conservative
Quebec,24074,Vaudreuil–Soulanges,64564,64564,"Schiefke, Peter",Liberal,False,"Schiefke, Peter",False,Liberal
Ontario,35037,Hamilton Mountain,48460,48460,"Hepfner, Lisa",Liberal,False,"Allen, Malcolm",True,NDP-New Democratic Party
Ontario,35038,Hamilton West–Ancaster–Dundas,62821,62821,"Tassi, Filomena",Liberal,False,"Tassi, Filomena",False,Liberal
Ontario,35054,Markham–Stouffville,58392,58392,"Jaczek, Helena",Liberal,False,"Jaczek, Helena",False,Liberal
Ontario,35051,London–Fanshawe,51422,51422,"Mathyssen, Lindsay",NDP-New Democratic Party,False,"Mathyssen, Lindsay",False,NDP-New Democratic Party
Ontario,35059,Mississauga East–Cooksville,45246,45575,"Fonseca, Peter",Liberal,False,"Fonseca, Peter",False,Liberal
Ontario,35060,Mississauga–Erin Mills,50672,50672,"Khalid, Iqra",Liberal,False,"Khalid, Iqra",False,Liberal
Ontario,35040,Huron–Bruce,60678,61197,"Lobb, Ben",Conservative,False,"Lobb, Ben",False,Conservative
Ontario,35056,Markham–Unionville,45224,45224,"Chiang, Paul",Liberal,False,"Chiang, Paul",False,Liberal
Ontario,35053,London West,68621,68621,"Kayabaga, Arielle",Liberal,False,"Flack, Rob",True,Conservative
Ontario,35055,Markham–Thornhill,38528,38528,"Ng, Mary",Liberal,False,"Ng, Mary",False,Liberal
Ontario,35064,Nepean,65748,65748,"Arya, Chandra",Liberal,False,"Arya, Chandra",False,Liberal
Ontario,35052,London North Centre,58620,58620,"Fragiskatos, Peter",Liberal,False,"Prout, Dirka",True,NDP-New Democratic Party
Ontario,35070,Nipissing–Timiskaming,47496,47496,"Rota, Anthony",Liberal,False,"Rota, Anthony",False,Liberal
Ontario,35044,Kingston and the Islands,67505,67505,"Gerretsen, Mark",Liberal,False,"Sahai, Vic",True,NDP-New Democratic Party
Ontario,35068,Niagara West,55277,55277,"Allison, Dean",Conservative,False,"Allison, Dean",False,Conservative
Ontario,35041,Kanata–Carleton,63156,63156,"Sudds, Jenna",Liberal,False,"McAndrew, Jennifer",True,Conservative
Ontario,35063,Mississauga–Streetsville,50124,50124,"Valdez, Rechie",Liberal,False,"Valdez, Rechie",False,Liberal
Ontario,35057,Milton,55386,55386,"van Koeverden, Adam",Liberal,False,"van Koeverden, Adam",False,Liberal
